"id","text","video_id","category"
"Ugy-btwk6IukRHfpX594AaABAg","Еще хотелось бы добавить, что data scientis - это больше в сторону аналитики, а если кого-то интересует именно работа с ИИ в таких направлениях как nlp или cv, то вам уже нужно смотреть в сторону ml инженера","2","DS"
"Ugz4KgVXSEwdjfY3owd4AaABAg","Я просто любовался твоей красотой🥰","2","DS"
"UgxorcsjmRoUIUWOUZR4AaABAg","а где анонс набора на курс?","2","DS"
"UgyP7CDxWb_TiYhBiax4AaABAg","Спасибо, Анастасия! Может вы что-нибудь знаете об особенностях применения DS в медицине? Очень интересно именно это направление.","2","DS"
"Ugw84XjQMsC6SoOSMn54AaABAg","Первый человек, который доступно и кратко объяснил что же такое data science, спасибо!","2","DS"
"Ugwsz-5ADTPv524xG3l4AaABAg","учусь на математическом факультете, есть 2 часа программирования в неделю, есть ли какой-нибудь курс или же набор книг, который в первую очередь стоит прочитать? хорошо знаком с основами линала, матана, ангема и топологии, средне с теорией вероятности, поверхностно знаком со статистикой","2","DS"
"UgxuNRrxbgDorti-y5R4AaABAg","Просто о сложном, молодец! Вопрос, как правильно настроиться на учебу если все это пока темный лес?","2","DS"
"Ugx-GFvHuEqTLXpjJ8B4AaABAg","А теперь закатаем губу. Хороший DS специалист - это специалист, который знает бизнес-процессы. Программирование, машинное обучение - это все второсортно, потому что, например, если человек не знает как работает рефинансирование кредитов, кредит/дебет и т.п., то специалист просто просиживает штаны первые полгода и делает мелкую работенку, которая позволяет ему понять бизнес-процессы. Отсюда следует, что таких спецов берут на вырост, при чем большие компании, которые могут себе позволить. Соответственно лучше взять вчерашних студентов, т.к. они еще не испорчены другими работодателями и готовы работать за еду, лишь бы опыт. Чистый DS мало где существует, поэтому 90% времени будут задачи DA/DE (загрузка, очистка, анализ данных). Это связано с тем, что машинное обучение применяется, когда была найдена проблема (а если человек не знает как работает процесс, то он не поймет, что здесь есть проблема), а проблемы не так часто находятся, если вы не Сбер и не имеете десяток разных направлений деятельности. Поэтому 2-3 DS-специалиста хватит на отдел, если они будут заниматься только ML. Стажеров (интернов) на удаленку не берут. DS нужны большим компания (банки). 90% этих компаний находятся в Мск. За стажерское место будет драться сотня студентов. Учитывая, что DS - это все такие математическое направление, то вы будете конкурировать со студентами МФТИ, МГУ, Бауманка и др. топовые ВУЗы. Не тратьте свое время, если вы уже в возрасте и не имеете коммерческого опыта в программирование. Ваше резюме затеряется среди сотни таких же. Направление слишком молодое.","2","DS"
"Ugw6eAUU1K74yXK70S14AaABAg","И снова отличное видео","2","DS"
"Ugy_kXNZRE6ReXv54Yt4AaABAg","Вы пример красивой и интересной девушки. Прекрасное сочетание)) Надеюсь всё больше девочек будет вдохновляться вот таким контентом","2","DS"
"UgxGrcttLqQpGIaFUgl4AaABAg","Язык и речь круто поставлены. Со временем, все лучше и лучше.","2","DS"
"UgzsXg1QGqpAzrF98nZ4AaABAg","Какая красивая женщина. И умная еще. Хорошее сочетание.","2","DS"
"Ugx05DQQI2_9s6KNkeF4AaABAg","Добрый вечер. Увидел мнение, что через 10-15 лет дата-аналитиков заменят сверх-компьютеры. Что думаете об этом, и сколько по вашему мнению будет жить это направление?","2","DS"
"Ugz2LrE7XocgvXXB4I54AaABAg","Странно, что нет 100 комментариев об ошибке в заставке.","2","DS"
"UgxPXytcUYsHAozPcXR4AaABAg","Анастасия, кто более востребован? MLE или DS?","2","DS"
"UgwKJbH1kD0njDLU5914AaABAg","А есть видео про рабочие проекты? Что сейчас актуально для банков, над чем сейчас идет работа?","2","DS"
"UgxDwNqf2GY257ISf5t4AaABAg","Привет, созрел тут вопрос. Недавно начал работать в мл. Пока правда мало чего от мл, больше идет анализ данных, и во многом поэтому такой вопрос - на какие сейчас можно обратить внимание курсы чисто по нейросетям? Такие чтоб не для сертификата, а для понимания и практики, в идеале конечно чтоб весь курс сразу был открыт и можно было в своем темпе делать, но это уж второстепенно. Или лучше по-другому в них вникнуть? А то, прошел целый курс от Я.Практикума, но нейросети там затрагивались минимально. P.S. Видосы супер)","2","DS"
"UgwZBCYWiVGBB9x8-WN4AaABAg","А сколько времени нужно учиться чтобы нужно начать работу?","2","DS"
"Ugyd4Rjnj4dfdPLoPwl4AaABAg","Спасибо Анастасия!","2","DS"
"Ugx7z8pU1UmLOkbQvvN4AaABAg","Сколько процентов от всего объёма работы (по твоим ощущениям) занимает непосредственно программирование? Есть ли отличия организации рабочего процесса в DS от других программистских ремёсел, или все так же(постоянные переработки, срывы дедлайнов, древний го*нокод и прочий геморрой)?","2","DS"
"UgyoVaaJYKJmUqrGlph4AaABAg","Что нужно изучать Аналитику, а что ML специалисту? Или надо все подряд учить?","2","DS"
"Ugzt7Yy3HvRVBwgAQBN4AaABAg","Thank you beautiful princess. Спасибо прекрасная принцесса, by the description of Data Science","2","DS"
"Ugyl4DmvvA2x8hZyPZB4AaABAg","Эх, был бы у меня такой преподаватель, я бы только то и делал, что анализировал данные.","2","DS"
